Período;Região;Entidade;Localização Geográfica;Nº Consultas Médicas Presenciais (QT);Nº de Consultas Médicas Não Presenciais ou Inespecíficas (Qt);Nº de Consultas Médicas ao Domicílio (Qt)
2014-03;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;36270;15087.0;345.0
2014-03;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;44869;10821.0;322.0
2014-03;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;37529;12105.0;317.0
2014-03;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;16223;5817.0;217.0
2014-03;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;30505;13370.0;362.0
2014-03;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;37739;17882.0;587.0
2014-03;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;25965;13032.0;355.0
2014-03;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;31566;11300.0;182.0
2014-04;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;12931;6213.0;100.0
2014-04;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;69074;27585.0;486.0
2014-04;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5257;2806.0;3.0
2014-04;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;21572;4196.0;97.0
2014-04;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;30523;7992.0;192.0
2014-04;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;32226;6877.0;371.0
2014-04;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;42372;10399.0;248.0
2014-04;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;30032;11106.0;304.0
2014-04;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;21757;7613.0;342.0
2014-04;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;31221;15107.0;460.0
2014-04;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;25169;12866.0;324.0
2014-04;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;19782;8021.0;292.0
2014-04;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;29862;10953.0;229.0
2014-05;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;26699;14208.0;449.0
2014-05;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;56239;31115.0;457.0
2014-05;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;73810;29045.0;517.0
2014-05;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;13625;7405.0;20.0
2014-05;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;54105;18527.0;535.0
2014-05;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;35736;15403.0;275.0
2014-05;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;47323;10994.0;251.0
2014-05;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;56482;23616.0;848.0
2014-05;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;22900;9266.0;200.0
2014-05;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;30855;12484.0;421.0
2014-05;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;38483;18816.0;540.0
2014-06;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;67458;27036.0;414.0
2014-06;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;28673;12194.0;223.0
2014-06;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;28856;8594.0;315.0
2014-06;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;40620;10821.0;259.0
2014-06;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;41499;10047.0;244.0
2014-06;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;15675;6126.0;173.0
2014-06;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;20355;7535.0;305.0
2014-06;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;28353;14566.0;409.0
2014-07;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;43981;27237.0;297.0
2014-07;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5270;2946.0;4.0
2014-07;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;33715;13634.0;209.0
2014-07;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;16237;6635.0;107.0
2014-07;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;21768;9018.0;175.0
2014-07;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;34096;19154.0;477.0
2014-08;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;51160;28334.0;294.0
2014-08;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;56209;25314.0;334.0
2014-08;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;8578;4566.0;9.0
2014-08;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;27900;8895.0;198.0
2014-08;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;24133;7220.0;279.0
2014-08;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;41134;18225.0;356.0
2014-08;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;16287;7580.0;124.0
2014-08;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;24274;9897.0;316.0
2014-08;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;23419;10597.0;198.0
2014-08;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;14359;8783.0;202.0
2014-08;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;16496;6804.0;190.0
2014-08;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;15565;9618.0;160.0
2014-08;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;23618;14252.0;296.0
2014-08;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;27442;14730.0;331.0
2014-08;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;23475;10355.0;125.0
2014-09;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5379;3214.0;3.0
2014-09;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;31689;14041.0;191.0
2014-09;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;54078;23180.0;500.0
2014-09;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;52804;24636.0;653.0
2014-09;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;18570;11552.0;261.0
2014-09;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;20509;11926.0;202.0
2014-09;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;32035;17041.0;424.0
2014-09;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;24923;14019.0;269.0
2014-09;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;25085;13476.0;326.0
2014-09;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;35601;17795.0;372.0
2014-09;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;30934;16520.0;392.0
2014-09;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;35394;15807.0;352.0
2014-09;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;30525;13638.0;205.0
2014-10;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;59196;20192.0;623.0
2014-10;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;6052;3540.0;4.0
2014-10;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;47387;17516.0;178.0
2014-10;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;35492;14964.0;379.0
2014-10;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;40081;14728.0;366.0
2014-10;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;33016;9761.0;303.0
2014-10;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;20357;12391.0;387.0
2014-10;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;33644;16333.0;379.0
2014-11;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;13099;6313.0;105.0
2014-11;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;24059;11802.0;306.0
2014-11;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;24983;12222.0;402.0
2014-11;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;10066;4073.0;75.0
2014-11;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;11675;4786.0;12.0
2014-11;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;23777;9156.0;165.0
2014-11;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;38134;7190.0;195.0
2014-11;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;30487;7826.0;296.0
2014-11;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;26015;6710.0;184.0
2014-11;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;22195;8312.0;213.0
2014-11;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;29526;11787.0;477.0
2014-11;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;31628;11702.0;346.0
2014-11;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;29942;13204.0;349.0
2014-11;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;22731;7394.0;296.0
2014-11;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;32502;14735.0;443.0
2014-11;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;25039;13527.0;348.0
2014-11;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;25688;12461.0;369.0
2014-12;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;23671;12161.0;263.0
2014-12;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;9045;3833.0;89.0
2014-12;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;11923;4808.0;23.0
2014-12;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;47413;16569.0;419.0
2014-12;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;20794;8663.0;176.0
2014-12;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;27994;7750.0;236.0
2014-12;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;28483;8083.0;262.0
2014-12;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;29921;11898.0;235.0
2014-12;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;45347;21057.0;530.0
2014-12;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;16121;9953.0;254.0
2014-12;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;18976;7763.0;227.0
2014-12;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;31374;15364.0;384.0
2014-12;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;25777;11262.0;219.0
2015-01;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;39936;20023.0;453.0
2015-01;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;29577;14742.0;427.0
2015-01;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;26793;9738.0;138.0
2015-01;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;59609;31597.0;461.0
2015-01;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;80607;29892.0;549.0
2015-01;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;25639;5651.0;111.0
2015-01;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;48219;12948.0;433.0
2015-01;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;27396;8919.0;334.0
2015-01;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;24311;9168.0;226.0
2015-01;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;21151;11056.0;254.0
2015-01;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;39292;18345.0;535.0
2015-01;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;33620;12168.0;287.0
2015-02;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;25199;11388.0;344.0
2015-02;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;27228;12318.0;364.0
2015-02;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;28151;7784.0;143.0
2015-02;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;10866;3877.0;83.0
2015-02;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;13254;4702.0;26.0
2015-02;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;23518;5160.0;115.0
2015-02;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;35345;9055.0;258.0
2015-02;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;36111;10944.0;252.0
2015-02;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;20251;9305.0;290.0
2015-02;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;30261;13104.0;392.0
2015-02;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;36669;17118.0;500.0
2015-03;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;38255;18339.0;437.0
2015-03;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;15873;6514.0;122.0
2015-03;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;29017;8524.0;134.0
2015-03;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;80815;28471.0;512.0
2015-03;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;13916;5216.0;35.0
2015-03;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;36371;14038.0;304.0
2015-03;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;39221;7556.0;206.0
2015-03;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;37419;14675.0;372.0
2015-03;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;35775;7854.0;461.0
2015-03;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;54631;12763.0;380.0
2015-03;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;56988;22620.0;792.0
2015-03;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;23424;8510.0;206.0
2015-03;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;32341;14279.0;340.0
2015-03;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;27799;12044.0;427.0
2015-04;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;25772;12912.0;444.0
2015-04;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;11713;4621.0;14.0
2015-04;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;25069;5570.0;122.0
2015-04;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;34561;12030.0;272.0
2015-04;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;54888;20639.0;649.0
2015-04;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;16483;6092.0;156.0
2015-04;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;20488;10744.0;235.0
2015-04;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;33796;15176.0;481.0
2015-04;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;37337;18196.0;452.0
2015-04;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;20820;8777.0;329.0
2015-04;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;35884;14625.0;443.0
2015-04;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;31113;13297.0;254.0
2015-05;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;30159;9386.0;208.0
2015-05;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;10692;4078.0;88.0
2015-05;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;23975;5266.0;103.0
2015-05;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;42917;11363.0;331.0
2015-05;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;54033;19818.0;663.0
2015-05;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;15397;5877.0;205.0
2015-05;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;22212;8548.0;253.0
2015-05;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;29950;12446.0;527.0
2015-05;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;15677;5073.0;207.0
2015-05;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;22491;7325.0;253.0
2015-06;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;24607;12547.0;298.0
2015-06;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;26114;8316.0;147.0
2015-06;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;13880;5058.0;17.0
2015-06;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;44115;15270.0;167.0
2015-06;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;55967;19369.0;561.0
2015-06;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;35063;9705.0;204.0
2015-06;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;32335;13511.0;240.0
2015-06;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;37115;7581.0;211.0
2015-06;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;24223;8262.0;308.0
2015-06;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;21597;8482.0;187.0
2015-06;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;16079;5495.0;213.0
2015-06;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;23365;13594.0;334.0
2015-06;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;32792;16863.0;371.0
2015-07;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;14436;6284.0;112.0
2015-07;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;25881;8369.0;187.0
2015-07;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;10894;4271.0;79.0
2015-07;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;72771;29137.0;449.0
2015-07;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;50890;16292.0;489.0
2015-07;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;24763;9300.0;177.0
2015-07;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;13012;4439.0;83.0
2015-07;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;29719;14766.0;338.0
2015-07;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;21275;11184.0;214.0
2015-07;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;20205;9171.0;265.0
2015-07;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;31049;15541.0;400.0
2015-07;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;34583;11697.0;267.0
2015-08;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;27715;16973.0;257.0
2015-08;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;27566;9746.0;212.0
2015-08;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;19034;8074.0;149.0
2015-08;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;35337;13444.0;92.0
2015-08;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;26392;6116.0;359.0
2015-08;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;34139;10996.0;295.0
2015-08;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;29585;11649.0;184.0
2015-08;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;43820;18761.0;411.0
2015-08;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;43513;21252.0;456.0
2015-08;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;12573;5491.0;100.0
2015-08;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;18020;7909.0;130.0
2015-08;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;25235;10914.0;318.0
2015-08;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;16175;9049.0;180.0
2015-08;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;17380;10082.0;157.0
2015-08;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;20458;10396.0;284.0
2015-08;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;20724;11396.0;278.0
2015-08;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;25894;13746.0;281.0
2015-09;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;13973;6795.0;72.0
2015-09;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;26483;9544.0;140.0
2015-09;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;53006;29707.0;340.0
2015-09;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;12126;5418.0;14.0
2015-09;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;24331;10564.0;196.0
2015-09;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;43322;16509.0;155.0
2015-09;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;34930;15095.0;328.0
2015-09;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;49413;13258.0;298.0
2015-09;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;33787;13614.0;207.0
2015-09;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;15600;5719.0;183.0
