Período;Região;Entidade;Localização Geográfica;Utentes Inscritos com Hipertensão Arterial, com pressão arterial inferior a 150/90 mmHg nos últimos 6 meses;Hipertensos < 65 Anos, com Pressão Arterial < 150/90
2014-04;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;9485;38.17209
2014-04;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;6093;32.13099
2014-04;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;4246;36.45574
2014-04;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;13380;54.15031
2014-04;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;4668;39.28632
2014-04;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;4421;46.4147
2014-04;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;7275;54.43322
2014-05;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;8071;51.11787
2014-05;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;4700;42.36142
2014-05;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;2357;36.62782
2014-05;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;1235;23.06256
2014-05;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;4774;40.39259
2014-05;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;2889;37.35937
2014-05;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;6478;46.11004
2014-05;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;6839;32.74285
2014-05;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;8362;58.47144
2014-05;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;8346;59.19149
2014-05;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;3887;55.43354
2014-05;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;7866;55.93799
2014-05;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;5152;54.18595
2014-06;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;11501;39.87588
2014-06;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;13690;42.6055
2014-06;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;2524;39.04703
2014-06;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;12601;50.00992
2014-06;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;5488;38.96897
2014-06;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;7072;49.92235
2014-06;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;7834;37.11037
2014-06;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;5971;53.01429
2014-06;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;8681;61.1812
2014-06;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;9669;73.08942
2014-06;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;7507;59.11489
2014-06;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;8375;51.83512
2014-07;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;1434;12.77392
2014-07;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;895;7.19511
2014-07;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;2353;12.44513
2014-07;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;2163;11.209
2014-07;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;1634;13.62575
2014-07;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;1666;17.14874
2014-07;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;2593;18.30698
2014-07;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;1345;18.92767
2014-07;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;3321;17.18855
2014-08;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;5930;18.22037
2014-08;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;4014;21.09745
2014-08;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;3218;15.38977
2014-08;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;2610;19.47761
2014-08;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;2679;16.84164
2014-08;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;3380;17.57122
2014-08;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;2901;20.37792
2014-08;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;3418;15.99064
2014-08;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;2573;26.27924
2014-08;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;2313;24.53591
2014-08;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;2136;29.86995
2014-08;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;2407;25.19627
2014-08;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;3021;29.51925
2014-08;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;4662;27.74174
2014-08;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;4710;27.23016
2014-09;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;2110;24.13359
2014-09;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;2256;17.7904
2014-09;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;6726;23.01533
2014-09;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;4830;22.953
2014-09;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;2005;25.37975
2014-09;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;6474;31.77735
2014-09;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;3782;38.61154
2014-09;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;8141;41.80446
2014-09;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;6324;47.73551
2014-10;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;2942;23.00235
2014-10;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;9215;31.36487
2014-10;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;1077;18.76961
2014-10;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;10259;40.00078
2014-10;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;7407;32.60984
2014-10;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;5722;31.48454
2014-10;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;13984;59.38004
2014-10;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;3696;50.94418
2014-10;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;8433;63.00807
2014-10;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;4855;49.65736
2014-10;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;8147;49.26528
2014-10;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;10131;60.65377
2014-11;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;13376;40.35966
2014-11;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;2631;39.38033
2014-11;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;5201;31.20912
2014-11;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;7014;43.45456
2014-11;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;7290;37.40764
2014-11;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;5542;45.50456
2014-11;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;4465;55.19842
2014-11;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;4127;56.35668
2014-11;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;5572;57.49071
2014-11;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;7753;60.93689
2014-11;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;8394;62.43677
2014-12;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;5256;45.27132
2014-12;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;2103;19.73351
2014-12;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;2842;42.30426
2014-12;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;9538;49.04108
2014-12;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;4480;37.73267
2014-12;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;6303;45.44996
2014-12;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;5728;39.16313
2014-12;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;6278;54.52966
2014-12;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;9856;68.27849
2014-12;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;6115;63.3285
2014-12;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;7923;61.78741
2014-12;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;6110;61.93614
2014-12;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;8352;65.86231
2014-12;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;8717;52.08221
2015-01;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;988;11.62763
2015-01;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;1913;18.49203
2015-01;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;517;5.08708
2015-01;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;315;8.50662
2015-01;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;3305;10.88747
2015-01;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;1279;11.19867
2015-01;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;3064;11.30252
2015-01;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;2154;8.79471
2015-01;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;1696;9.41647
2015-01;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;1559;11.3937
2015-01;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;1515;12.08519
2015-01;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;2506;17.47803
2015-01;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;2036;11.08872
2015-01;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;2515;15.33537
2015-02;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;2485;22.22719
2015-02;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;1579;12.58167
2015-02;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;5713;18.63644
2015-02;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;3124;16.02298
2015-02;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;2247;14.29662
2015-02;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;2065;14.65162
2015-02;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;3953;16.0047
2015-02;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;2996;16.48509
2015-02;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;2909;20.96274
2015-02;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;4403;30.28615
2015-02;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;4169;30.09674
2015-02;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;3879;28.04569
2015-02;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;5325;32.65669
2015-03;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;838;22.11082
2015-03;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;5167;28.11208
2015-03;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;2788;23.84536
2015-03;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;4620;22.54648
2015-03;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;3357;21.09994
2015-03;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;5068;27.57495
2015-03;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;3846;23.23165
2015-03;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;5646;22.60118
2015-03;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;4378;23.79089
2015-03;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;6195;30.99205
2015-03;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;6492;44.26565
2015-03;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;3978;35.99674
2015-03;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;2844;40.11283
2015-03;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;3455;37.22258
2015-03;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;3412;36.09054
2015-03;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;5829;36.76211
2015-03;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;7685;46.78843
2015-04;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;2725;21.12403
2015-04;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;10904;34.18182
2015-04;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;5814;35.23209
2015-04;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;3103;27.34644
2015-04;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;6920;27.44289
2015-04;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;5091;50.97627
2015-04;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;7251;45.48363
2015-04;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;6416;39.03151
2015-05;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;1651;27.83679
2015-05;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;1194;35.58867
2015-05;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;7226;38.82233
2015-05;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;5440;32.35784
2015-05;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;5571;56.82375
2015-05;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;6026;59.81141
2015-05;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;10704;64.04595
2015-06;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;3214;36.05969
2015-06;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;3711;28.05413
2015-06;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;2093;19.52608
2015-06;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;2857;43.88633
2015-06;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;1769;29.51285
2015-06;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;4352;36.34845
2015-06;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;4163;36.32318
2015-06;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;5489;33.98972
2015-06;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;5437;47.53038
2015-06;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;5690;60.22439
2015-06;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;4057;55.91235
2015-06;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;8857;59.45093
2015-07;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;2318;12.76291
2015-07;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;1538;11.74046
2015-07;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;997;8.69148
2015-07;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;1386;14.6218
2015-07;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;2469;17.48955
2015-07;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;1643;17.1808
2015-07;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;2413;14.61804
2015-07;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;1462;15.23234
2015-07;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;2463;15.25833
2015-08;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;4417;15.83949
2015-08;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;577;9.4761
2015-08;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;501;14.58091
2015-08;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;1931;26.39781
2015-08;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;3779;22.84074
2015-08;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;4293;25.16855
2015-09;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;2054;22.54913
2015-09;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;3641;33.81629
2015-09;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;6516;23.35819
2015-09;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;905;14.73941
2015-09;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;8771;30.94373
2015-09;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;3742;22.46368
2015-09;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;2270;19.58754
2015-09;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;5763;22.23894
2015-09;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;4345;29.66478
2015-09;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;11531;45.83979
2015-09;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;6519;42.86278
2015-09;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;5687;40.00703
2015-09;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;7662;40.62136
2015-10;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;7358;38.38689
2015-10;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;4869;28.96835
2015-10;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;3015;25.52273
2015-10;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;3998;23.78488
2015-10;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;5006;36.92285
2015-10;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;8367;57.27683
2015-10;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;6009;58.49314
2015-10;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;5780;46.08883
2015-11;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;3980;34.26899
2015-11;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;1070;33.45841
2015-11;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;4928;29.08061
2015-11;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;6997;47.4405
2015-11;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;5834;42.70551
2015-11;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;8253;31.8096
2015-11;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;10012;65.11023
2015-11;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;5553;48.96825
2015-11;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;9575;72.09005
2015-11;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;9275;56.43444
2015-11;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;11439;66.94563
2015-12;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;9605;49.61773
2015-12;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;1439;22.72584
2015-12;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;1162;35.5243
2015-12;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;2044;18.11414
2015-12;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;10189;61.85273
2015-12;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;5568;57.21332
2015-12;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;7330;58.12386
